ID,MDU,ST,CC,clade,country,continent,year,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
GCA_025753215.1,No,-,,,China,Asia,2019,,optrA,-,,,,yes,
GCA_025753255.1,No,-,,,China,Asia,2019,,optrA,-,,,,yes,
GCA_025753345.1,No,-,,,China,Asia,2020,,"optrA, poxtA",-,,,,yes,yes
GCA_025753575.1,No,190,,,China,Asia,2019,,optrA,-,,,,yes,
GCA_025753745.1,No,184,,,China,Asia,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_025800545.1,No,56,17,,China,Asia,2020,,"optrA, poxtA",-,,,,yes,yes
GCA_025800625.1,No,636,,,China,Asia,2020,,"optrA, poxtA",-,,,,yes,yes
GCA_025847735.1,No,-,,,China,Asia,2021,,optrA,-,,,,yes,
GCA_025913595.1,No,-,,,China,Asia,2021,,"optrA, poxtA",-,,,,yes,yes
GCA_025916235.1,No,-,,,China,Asia,2020,,optrA,-,,,,yes,
GCA_026203855.1,No,184,,,China,Asia,2019,,"optrA, poxtA",-,,,,yes,yes
GCA_026204185.1,No,1630,,,China,Asia,2019,,optrA,-,,,,yes,
GCA_030179055.1,No,590,,,China,Asia,2020,,"optrA, poxtA",-,,,,yes,yes
GCA_030179275.1,No,22,17,,China,Asia,2019,,optrA,-,,,,yes,
GCA_030179375.1,No,-,,,China,Asia,2017,,"optrA, poxtA",-,,,,yes,yes
GCA_009707535.1,No,1058,,,Tunisia,Europe,2015,,poxtA,-,,,,,yes
GCA_019352635.1,No,25,17,,Portugal,Europe,2019,,poxtA,-,,,,,yes
GCA_019352685.1,No,1263,17,,Portugal,Europe,2019,,poxtA,-,,,,,yes
GCA_021121615.1,No,8,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021121685.1,No,-,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021121745.1,No,420,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021121825.1,No,5,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021121925.1,No,420,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021121945.1,No,420,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122295.1,No,-,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122585.1,No,137,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122605.1,No,97,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122705.1,No,-,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122765.1,No,-,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021122805.1,No,55,17,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021123285.1,No,5,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021123345.1,No,718,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021123505.1,No,49,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021123605.1,No,5,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021123875.1,No,184,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021124205.1,No,-,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_021124265.1,No,-,,,Belgium,Europe,2019,,poxtA,-,,,,,yes
GCA_025753075.1,No,184,,,China,Asia,2020,,poxtA,-,,,,,yes
SRR14026459,No,-,,,Canada,North America,2015,,poxtA,,,,,,yes
SRR14026497,No,-,,,Canada,North America,2015,,optrA,,,,,yes,
SRR14026532,No,-,,,Canada,North America,2015,,"optrA, poxtA",,,,,yes,yes
SRR22543276,No,117,17,,Czech Republic,Europe,2019,,"cfr(D), poxtA",vanA,,,yes,,yes
