ID,MDU,ST,CC,clade,BAPS_clade,BAPS_level1,BAPS_level2,country,continent,year,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
SRR10094609,No,80,17,A1,1,3,16,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094610,No,132,17,,1,3,16,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094612,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
SRR10094613,No,132,17,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094614,No,132,17,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094619,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094620,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10094621,No,-,,,1,3,15,Pakistan,Asia,2016,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR10123248,No,80,17,A1,1,3,15,Qatar,Asia,2018,clinical/human,cfr(D),vanA,,,yes,,
SRR10123251,No,117,17,A1,1,3,16,Qatar,Asia,2018,clinical/human,cfr(D),vanA,,,yes,,
SRR10276527,No,872,17,,1,3,19,Australia,Oceania,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
SRR10694396,No,117,17,A1,1,3,19,Germany,Europe,2015,clinical/human,cfr(B),vanB,,yes,,,
SRR11730539,No,-,,,1,1,1,Germany,Europe,2017,clinical/human,cfr(B),vanB,,yes,,,
SRR11910990,No,203,17,,1,1,1,Germany,Europe,2016,clinical/human,cfr(B),vanB,,yes,,,
SRR11911039,No,117,17,,1,1,3,Germany,Europe,2016,clinical/human,cfr(B),vanB,,yes,,,
SRR13009678,No,117,17,A1,1,1,1,Czech Republic,Europe,2017,clinical/human,cfr(B),vanA,,yes,,,
SRR13080468,No,202,17,,1,1,1,Belgium,Europe,2018,clinical/human,optrA,,,,,yes,
SRR13480558,No,117,17,A1,1,1,1,Germany,Europe,2018,clinical/human,poxtA,vanB,,,,,yes
SRR13480564,No,117,17,A1,1,1,1,Germany,Europe,2017,clinical/human,poxtA,vanB,,,,,yes
SRR13902732,No,80,17,A1,1,1,1,India,Asia,2019,clinical/human,optrA,,,,,yes,
SRR13902733,No,1380,17,,1,1,1,India,Asia,2020,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
SRR13902734,No,80,17,A1,1,1,1,India,Asia,2019,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
SRR13984233,No,18,17,A1,1,3,14,Denmark,Europe,2017,clinical/human,cfr(D),vanB,,,yes,,
SRR13984403,No,117,17,A1,1,3,19,Denmark,Europe,2016,clinical/human,cfr(D),vanA,,,yes,,
SRR14024963,No,32,17,,1,1,3,Canada,North America,2015,animal,"cfr, optrA",,yes,,,yes,
SRR14024972,No,-,,,1,3,14,Canada,North America,2015,animal,"optrA, poxtA",,,,,yes,yes
SRR14024974,No,-,,,1,1,2,Canada,North America,2015,animal,optrA,,,,,yes,
SRR14024975,No,944,,,1,1,1,Canada,North America,2015,animal,optrA,,,,,yes,
SRR14024978,No,-,,,1,3,16,Canada,North America,2016,animal,"optrA, poxtA",,,,,yes,yes
SRR14024983,No,1532,-,,1,3,12,Canada,North America,2014,animal,poxtA,,,,,,yes
SRR14024984,No,-,,,1,5,25,Canada,North America,2015,animal,"optrA, poxtA",,,,,yes,yes
SRR14024990,No,-,,,1,1,1,Canada,North America,2015,animal,"optrA, poxtA",,,,,yes,yes
SRR14025000,No,-,-,,1,3,11,Canada,North America,2014,animal,poxtA,,,,,,yes
SRR14026459,No,-,,,1,3,17,Canada,North America,2015,environment,poxtA,,,,,,yes
SRR14026497,No,-,,,1,3,17,Canada,North America,2015,environment,optrA,,,,,yes,
SRR14026508,No,212,,,1,3,17,Canada,North America,2015,animal,optrA,,,,,yes,
SRR14026532,No,-,,,1,3,18,Canada,North America,2015,environment,"optrA, poxtA",,,,,yes,yes
SRR14889759,No,132,17,,1,3,19,Denmark,Europe,2018,clinical/human,"cfr(D), optrA, poxtA",vanA,,,yes,yes,yes
SRR15186232,No,787,17,,1,1,1,Ireland,Europe,2018,clinical/human,cfr(B),vanA,,yes,,,
SRR15186539,No,323,17,,1,1,1,Ireland,Europe,2019,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
SRR16347149,No,56,17,,1,1,2,USA,North America,2018,clinical/human,poxtA,,,,,,yes
SRR16347286,No,18,17,A1,1,1,2,USA,North America,2016,clinical/human,cfr(B),vanA,,yes,,,
SRR16608738,No,80,17,A1,1,6,29,Denmark,Europe,2017,clinical/human,cfr(D),vanA,,,yes,,
SRR16631799,No,137,,,2,3,16,Spain,Europe,2018,animal,poxtA,,,,,,yes
SRR16866653,No,17,17,,1,3,16,USA,North America,2016,clinical/human,cfr(B),vanA,,yes,,,
SRR16866735,No,17,17,,1,3,16,USA,North America,2016,clinical/human,cfr(B),vanA,,yes,,,
SRR16866782,No,736,17,,1,3,18,USA,North America,2016,clinical/human,cfr(C),vanA,,,,,
SRR16866792,No,736,17,,1,1,1,USA,North America,2016,clinical/human,cfr(C),vanA,,,,,
SRR16866838,No,-,-,,1,3,16,USA,North America,2013,clinical/human,poxtA,,,,,,yes
SRR16866849,No,-,-,,1,1,1,USA,North America,2014,clinical/human,poxtA,,,,,,yes
SRR16917000,No,80,17,,1,4,21,USA,North America,2018,clinical/human,cfr(B),vanA,,yes,,,
SRR17609593,No,32,17,,1,3,13,Portugal,Europe,2001,clinical/human,poxtA,,,,,,yes
SRR19369843,No,-,,,1,5,25,Thailand,Asia,2018,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
SRR19441643,No,17,17,A1,1,1,2,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR19441646,No,-,,,1,6,28,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR19441695,No,262,17,,1,1,2,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR19441759,No,761,17,,1,6,29,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR19441797,No,-,,,1,1,2,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR19441844,No,761,17,,1,1,2,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR19441872,No,262,17,,1,6,29,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR19441906,No,17,17,A1,1,4,23,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR19441990,No,80,17,A1,1,1,2,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR19442658,No,80,17,A1,1,3,15,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR19442795,No,-,,,1,3,14,Australia,Oceania,2019,clinical/human,cfr(D),vanA,,,yes,,
SRR20936700,No,117,17,,1,1,2,Germany,Europe,2018,clinical/human,cfr(B),vanB,,yes,,,
SRR21102102,No,1641,17,,1,1,2,Belgium,Europe,2019,animal,poxtA,,,,,,yes
SRR21102107,No,104,,,1,1,2,Belgium,Europe,2020,animal,"optrA, poxtA",,,,,yes,yes
SRR21102110,No,1628,17,,1,1,2,Belgium,Europe,2020,animal,"optrA, poxtA",,,,,yes,yes
SRR21102114,No,420,,,1,1,2,Belgium,Europe,2020,animal,poxtA,,,,,,yes
SRR21102115,No,22,17,,1,1,3,Belgium,Europe,2020,animal,"optrA, poxtA",,,,,yes,yes
SRR21102123,No,22,17,,1,1,2,Belgium,Europe,2019,animal,"optrA, poxtA",,,,,yes,yes
SRR21102125,No,324,17,,1,1,3,Belgium,Europe,2019,animal,"optrA, poxtA",,,,,yes,yes
SRR21102130,No,22,17,,1,1,1,Belgium,Europe,2019,animal,"optrA, poxtA",,,,,yes,yes
SRR21102131,No,55,17,,1,3,19,Belgium,Europe,2019,animal,"optrA, poxtA",,,,,yes,yes
SRR22543276,No,117,17,,1,1,1,Czech Republic,Europe,2019,clinical/human,"cfr(D), poxtA",vanA,,,yes,,yes
SRR23047320,No,-,,,1,1,1,India,Asia,2021,clinical/human,cfr(D),vanA,,,yes,,
SRR23047321,No,18,17,A1,1,5,25,India,Asia,2021,clinical/human,cfr(D),vanA,,,yes,,
SRR23047323,No,80,17,A1,1,1,1,India,Asia,2021,clinical/human,cfr(D),vanA,,,yes,,
SRR23047324,No,117,17,A1,1,3,14,India,Asia,2021,clinical/human,cfr(D),vanA,,,yes,,
SRR23047325,No,80,17,A1,1,7,32,India,Asia,2021,clinical/human,"cfr(D), optrA",vanA,,,yes,yes,
SRR3870891,No,117,17,A1,1,1,1,Germany,Europe,2015,clinical/human,cfr(B),vanA,,yes,,,
SRR6195412,No,80,17,A1,1,1,1,Australia,Oceania,2016,clinical/human,cfr(D),vanA,,,yes,,
SRR6456334,No,168,17,,1,4,22,Germany,Europe,2013,clinical/human,poxtA,,,,,,yes
SRR6456336,No,30,,,1,5,25,Germany,Europe,2012,clinical/human,poxtA,,,,,,yes
SRR6456337,No,273,,,1,5,25,Germany,Europe,2014,clinical/human,poxtA,,,,,,yes
SRR6456344,No,650,,,1,4,20,Germany,Europe,2009,clinical/human,poxtA,,,,,,yes
