ID,MDU,ST,BAPS_level1,BAPS_level2,country,continent,year,sample_type,lzd_genotype,van_operon,cfr,cfrB,cfrD,optrA,poxtA
GCA_023299525.1,No,369,2,9,,,2022,others,optrA,,,,,yes,
GCA_023299545.1,No,593,2,9,,,2022,others,optrA,,,,,yes,
GCA_023299585.1,No,476,2,9,,,2022,others,optrA,,,,,yes,
GCA_023299605.1,No,593,6,26,,,2022,others,optrA,,,,,yes,
GCA_023299645.1,No,256,2,7,,,2022,others,optrA,,,,,yes,
GCA_023299665.1,No,593,2,9,,,2022,others,optrA,,,,,yes,
GCA_023299685.1,No,-,6,26,,,2022,others,optrA,,,,,yes,
GCA_023299705.1,No,376,1,2,,,2022,others,optrA,,,,,yes,
GCA_023299785.1,No,207,9,44,,,2022,others,optrA,,,,,yes,
GCA_023300025.1,No,631,1,3,,,2022,others,optrA,,,,,yes,
GCA_023375245.1,No,376,2,9,,,2021,animal,optrA,,,,,yes,
GCA_023470065.1,No,-,9,44,China,Asia,2018,animal,optrA,,,,,yes,
GCA_023746575.1,No,368,9,43,China,Asia,2021,animal,optrA,,,,,yes,
GCA_024160685.1,No,476,1,1,Italy,Europe,2020,animal,optrA,,,,,yes,
GCA_024160745.1,No,476,6,28,Italy,Europe,2020,animal,optrA,,,,,yes,
GCA_024160765.1,No,476,6,28,Italy,Europe,2020,animal,optrA,,,,,yes,
GCA_024160795.1,No,476,3,14,Italy,Europe,2020,animal,optrA,,,,,yes,
GCA_024267595.1,No,843,6,28,China,Asia,2022,-,optrA,,,,,yes,
GCA_024483145.1,No,-,6,28,United Arab Emirates,Asia,2021,animal,optrA,,,,,yes,
GCA_024483525.1,No,314,6,28,United Arab Emirates,Asia,2021,animal,optrA,,,,,yes,
GCA_024487665.1,No,476,6,28,United Arab Emirates,Asia,2021,animal,optrA,,,,,yes,
GCA_024487685.1,No,-,6,28,United Arab Emirates,Asia,2021,animal,optrA,,,,,yes,
GCA_024487705.1,No,476,5,24,United Arab Emirates,Asia,2021,animal,optrA,,,,,yes,
GCA_024531085.1,No,-,6,28,United Arab Emirates,Asia,2021,animal,optrA,,,,,yes,
GCA_024535035.1,No,476,1,2,United Arab Emirates,Asia,2021,animal,optrA,,,,,yes,
GCA_024540495.1,No,-,6,28,United Arab Emirates,Asia,2021,animal,optrA,,,,,yes,
GCA_024541695.1,No,476,1,3,United Arab Emirates,Asia,2021,animal,optrA,,,,,yes,
GCA_024541715.1,No,476,6,26,United Arab Emirates,Asia,2021,animal,optrA,,,,,yes,
GCA_025420395.1,No,480,6,28,China,Asia,2018,environment,optrA,,,,,yes,
GCA_025420435.1,No,480,6,28,China,Asia,2018,environment,optrA,,,,,yes,
GCA_025641915.1,No,-,6,28,China,Asia,2018,animal,optrA,,,,,yes,
GCA_025641945.1,No,86,5,24,China,Asia,2018,animal,optrA,,,,,yes,
GCA_025753025.1,No,970,2,7,China,Asia,2020,animal,optrA,,,,,yes,
GCA_025753415.1,No,21,6,28,China,Asia,2018,animal,optrA,,,,,yes,
GCA_025753445.1,No,21,9,42,China,Asia,2019,animal,optrA,,,,,yes,
GCA_025753475.1,No,-,6,28,China,Asia,2019,animal,optrA,,,,,yes,
GCA_025753535.1,No,476,5,24,China,Asia,2019,animal,optrA,,,,,yes,
GCA_025753545.1,No,16,6,28,China,Asia,2019,animal,optrA,,,,,yes,
GCA_025753595.1,No,21,5,24,China,Asia,2019,animal,optrA,,,,,yes,
GCA_025753605.1,No,476,5,24,China,Asia,2020,animal,optrA,,,,,yes,
GCA_025753635.1,No,86,1,5,China,Asia,2020,animal,optrA,,,,,yes,
GCA_025753675.1,No,714,1,5,China,Asia,2020,animal,optrA,,,,,yes,
GCA_025753695.1,No,970,1,5,China,Asia,2020,animal,optrA,,,,,yes,
GCA_025753705.1,No,21,5,24,China,Asia,2020,animal,optrA,,,,,yes,
GCA_025753735.1,No,714,4,21,China,Asia,2020,animal,optrA,,,,,yes,
GCA_025776135.1,No,96,5,24,USA,North America,2022,animal,optrA,,,,,yes,
GCA_026200775.1,No,314,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200795.1,No,314,1,5,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200815.1,No,480,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200825.1,No,314,7,31,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200835.1,No,314,7,31,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200845.1,No,314,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200895.1,No,314,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200915.1,No,314,2,9,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200925.1,No,506,7,31,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200955.1,No,314,2,9,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200965.1,No,86,2,12,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026200995.1,No,314,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201015.1,No,-,2,12,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201025.1,No,476,3,15,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201055.1,No,314,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201065.1,No,314,2,6,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201095.1,No,314,2,12,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201115.1,No,-,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201125.1,No,16,7,31,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201135.1,No,314,2,12,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201175.1,No,632,3,14,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201195.1,No,314,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201215.1,No,506,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201225.1,No,314,2,9,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201235.1,No,-,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201265.1,No,506,2,12,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201295.1,No,-,2,7,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201315.1,No,-,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201325.1,No,-,9,42,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201335.1,No,506,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201375.1,No,631,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201395.1,No,506,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201415.1,No,506,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201435.1,No,-,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201455.1,No,506,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201475.1,No,59,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201495.1,No,59,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201515.1,No,506,2,7,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201535.1,No,506,3,19,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201555.1,No,21,7,31,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201565.1,No,-,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201595.1,No,21,7,33,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201615.1,No,868,7,33,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201635.1,No,506,2,9,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201655.1,No,868,2,9,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201675.1,No,444,7,31,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201695.1,No,506,7,31,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201725.1,No,19,7,31,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201735.1,No,868,3,19,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201775.1,No,506,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201795.1,No,59,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201815.1,No,868,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201835.1,No,982,2,12,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201845.1,No,506,6,26,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201875.1,No,506,9,42,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201895.1,No,21,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201925.1,No,868,7,33,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201955.1,No,16,4,21,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026201995.1,No,-,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202025.1,No,506,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202115.1,No,506,2,9,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202135.1,No,506,7,33,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202195.1,No,16,2,9,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202225.1,No,634,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202235.1,No,59,7,33,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202285.1,No,-,7,33,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202315.1,No,-,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202335.1,No,21,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202355.1,No,21,1,4,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202375.1,No,59,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202385.1,No,59,2,12,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202415.1,No,-,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202435.1,No,634,2,7,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202475.1,No,506,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202495.1,No,506,3,14,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202515.1,No,506,7,31,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202535.1,No,868,3,19,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202555.1,No,476,2,12,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202575.1,No,632,3,19,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202595.1,No,506,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202615.1,No,-,7,31,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202635.1,No,631,1,3,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202645.1,No,506,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202675.1,No,506,3,19,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202695.1,No,21,3,19,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202715.1,No,-,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202725.1,No,21,3,14,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202755.1,No,506,3,14,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202775.1,No,-,3,14,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202785.1,No,-,3,19,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202815.1,No,506,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202835.1,No,506,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202855.1,No,227,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202865.1,No,506,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202895.1,No,868,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202915.1,No,506,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202935.1,No,16,9,42,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202955.1,No,506,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202975.1,No,982,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026202995.1,No,59,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203015.1,No,634,1,4,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203035.1,No,868,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203055.1,No,634,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203135.1,No,-,9,42,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203215.1,No,634,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203235.1,No,634,9,42,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203255.1,No,902,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203275.1,No,982,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203295.1,No,982,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203335.1,No,982,9,42,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203355.1,No,634,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203375.1,No,902,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203395.1,No,902,9,42,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203405.1,No,902,7,36,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203435.1,No,902,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203455.1,No,506,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203465.1,No,902,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203495.1,No,632,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203505.1,No,902,1,4,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203535.1,No,506,7,36,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203555.1,No,902,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203575.1,No,227,2,7,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203595.1,No,506,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203615.1,No,506,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203635.1,No,632,7,36,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203715.1,No,902,2,11,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203735.1,No,632,5,24,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203755.1,No,902,1,3,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203775.1,No,506,1,3,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203795.1,No,902,4,22,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203815.1,No,632,3,14,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203835.1,No,506,6,29,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203895.1,No,506,4,20,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203915.1,No,632,4,20,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203935.1,No,535,4,20,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203955.1,No,902,1,3,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203975.1,No,902,1,3,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026203995.1,No,506,1,3,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026204015.1,No,902,3,17,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026204035.1,No,227,3,17,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026204045.1,No,535,3,17,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026204075.1,No,902,6,28,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026204095.1,No,591,3,17,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026204155.1,No,902,6,28,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026204175.1,No,902,2,6,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026204215.1,No,535,6,28,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026204235.1,No,902,6,27,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026204255.1,No,506,2,9,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026802365.1,No,81,1,1,China,Asia,2021,animal,optrA,,,,,yes,
GCA_026802385.1,No,631,1,3,China,Asia,2021,animal,optrA,,,,,yes,
GCA_027846135.1,No,480,5,24,USA,North America,2022,animal,optrA,,,,,yes,
GCA_027942035.1,No,314,1,5,China,Asia,2018,-,optrA,,,,,yes,
GCA_028200655.1,No,-,7,34,,,2021,-,optrA,,,,,yes,
GCA_028200665.1,No,-,1,5,,,2021,-,optrA,,,,,yes,
GCA_028200685.1,No,-,7,31,,,2021,-,optrA,,,,,yes,
GCA_028200755.1,No,593,2,7,,,2021,-,optrA,,,,,yes,
GCA_028335305.1,No,234,7,34,,,2021,animal,optrA,,,,,yes,
GCA_028335345.1,No,25,2,7,,,2021,animal,optrA,,,,,yes,
GCA_028335425.1,No,376,7,35,,,2021,animal,optrA,,,,,yes,
GCA_028335445.1,No,376,11,48,,,2021,animal,optrA,,,,,yes,
GCA_028335505.1,No,376,4,23,,,2021,animal,optrA,,,,,yes,
GCA_028335545.1,No,314,11,48,,,2021,animal,optrA,,,,,yes,
GCA_028335665.1,No,376,4,22,,,2021,animal,optrA,,,,,yes,
GCA_028335685.1,No,314,4,22,,,2021,animal,optrA,,,,,yes,
GCA_028335705.1,No,19,4,23,,,2021,animal,optrA,,,,,yes,
GCA_028335725.1,No,314,4,22,,,2021,animal,optrA,,,,,yes,
GCA_029000425.1,No,506,4,22,China,Asia,2021,environment,optrA,,,,,yes,
GCA_029015825.1,No,207,1,3,USA,North America,2023,animal,optrA,,,,,yes,
GCA_029375895.1,No,474,4,22,Portugal,Europe,2017,animal,optrA,,,,,yes,
GCA_029375915.1,No,207,4,23,Portugal,Europe,2017,animal,optrA,,,,,yes,
GCA_029378775.1,No,-,4,22,Portugal,Europe,2017,animal,optrA,,,,,yes,
GCA_029378785.1,No,-,4,22,Portugal,Europe,2017,animal,optrA,,,,,yes,
GCA_029378915.1,No,474,4,22,Portugal,Europe,2017,animal,optrA,,,,,yes,
GCA_029730335.1,No,16,4,22,USA,North America,2023,animal,optrA,,,,,yes,
GCA_029730355.1,No,330,4,22,USA,North America,2023,animal,optrA,,,,,yes,
GCA_029732835.1,No,368,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029732845.1,No,631,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029732895.1,No,368,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029732915.1,No,631,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029732935.1,No,631,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029732965.1,No,631,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733015.1,No,631,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733025.1,No,631,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733095.1,No,81,4,23,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733115.1,No,-,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733125.1,No,631,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733135.1,No,631,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733225.1,No,-,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733235.1,No,631,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733315.1,No,631,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733325.1,No,-,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733355.1,No,368,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733395.1,No,368,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733405.1,No,368,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733435.1,No,368,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733445.1,No,631,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733475.1,No,-,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733545.1,No,368,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733595.1,No,368,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733615.1,No,631,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733655.1,No,368,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733665.1,No,368,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733695.1,No,631,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733715.1,No,368,1,3,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733735.1,No,368,1,3,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733765.1,No,368,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733835.1,No,368,11,48,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733935.1,No,631,3,18,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733955.1,No,631,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733965.1,No,631,4,22,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029733995.1,No,368,2,7,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734015.1,No,368,6,29,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734035.1,No,368,9,44,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734045.1,No,368,10,46,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734075.1,No,-,3,14,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734095.1,No,631,9,44,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734105.1,No,631,9,44,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734115.1,No,368,10,46,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734125.1,No,368,2,6,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734175.1,No,241,9,44,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734215.1,No,241,7,37,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734275.1,No,-,9,44,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734295.1,No,368,7,37,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734425.1,No,-,1,2,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734515.1,No,631,7,36,China,Asia,2019,animal,optrA,,,,,yes,
GCA_029734775.1,No,631,7,36,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030064715.1,No,-,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030110795.1,No,714,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030110845.1,No,-,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030110865.1,No,480,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030116725.1,No,714,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030116735.1,No,714,7,31,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030116755.1,No,-,1,3,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030116805.1,No,19,1,4,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030116825.1,No,714,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030116835.1,No,972,1,4,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030116845.1,No,714,1,4,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030116875.1,No,972,8,38,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178595.1,No,86,8,38,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178615.1,No,535,1,4,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178635.1,No,535,1,4,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178655.1,No,476,1,4,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178675.1,No,476,8,41,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178715.1,No,476,1,3,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178735.1,No,476,1,3,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178755.1,No,476,9,43,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178775.1,No,59,1,3,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178795.1,No,538,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178805.1,No,386,3,14,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178835.1,No,476,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178855.1,No,386,3,14,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178895.1,No,403,8,38,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178915.1,No,585,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178935.1,No,585,3,14,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178955.1,No,403,6,26,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178965.1,No,403,3,18,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030178995.1,No,403,8,38,China,Asia,2019,animal,optrA,,,,,yes,
GCA_030270285.1,No,655,3,14,Japan,Asia,2021,animal,optrA,,,,,yes,
GCA_030270305.1,No,477,2,7,Japan,Asia,2021,animal,optrA,,,,,yes,
GCA_030270325.1,No,593,2,13,Japan,Asia,2021,animal,optrA,,,,,yes,
GCA_030295805.1,No,-,2,9,Japan,Asia,2021,animal,optrA,,,,,yes,
GCA_030295845.1,No,593,2,7,Japan,Asia,2021,animal,optrA,,,,,yes,
GCA_030364505.1,No,474,6,26,China,Asia,2016,others,optrA,,,,,yes,
GCA_030364555.1,No,910,8,38,China,Asia,2016,others,optrA,,,,,yes,
GCA_030364575.1,No,632,2,7,China,Asia,2016,others,optrA,,,,,yes,
GCA_030364595.1,No,476,7,34,China,Asia,2016,others,optrA,,,,,yes,
GCA_030364615.1,No,535,7,33,China,Asia,2016,others,optrA,,,,,yes,
GCA_030364645.1,No,538,9,42,China,Asia,2016,others,optrA,,,,,yes,
GCA_000788155.1,No,40,6,26,Denmark,Europe,2011,animal,poxtA,,,,,,yes
GCA_016743895.1,No,8,7,36,China,Asia,2019,animal,poxtA,,,,,,yes
GCA_018387365.1,No,-,1,3,USA,North America,2021,animal,poxtA,,,,,,yes
GCA_018389465.1,No,19,2,9,USA,North America,2021,animal,poxtA,,,,,,yes
GCA_018981765.1,No,-,1,3,USA,North America,2020,animal,poxtA,,,,,,yes
GCA_025602835.1,No,19,8,38,USA,North America,2022,animal,poxtA,,,,,,yes
GCA_905123805.1,No,708,7,35,,,,,poxtA,,,,,,yes
DRR126419,No,729,2,7,Japan,Asia,2017,human/clinical,"cfr(B), optrA",,,yes,,yes,
DRR126421,No,729,2,6,Japan,Asia,2017,human/clinical,"cfr(B), optrA",,,yes,,yes,
DRR400396,No,476,1,3,Japan,Asia,2021,human/clinical,optrA,,,,,yes,
SRR10387870,No,16,2,7,China,Asia,2018,human/clinical,optrA,,,,,yes,
SRR10387871,No,16,2,7,China,Asia,2018,human/clinical,optrA,,,,,yes,
SRR10387876,No,16,2,7,China,Asia,2018,human/clinical,optrA,,,,,yes,
SRR10387877,No,16,2,7,China,Asia,2018,human/clinical,optrA,,,,,yes,
SRR10387878,No,16,2,7,China,Asia,2018,human/clinical,optrA,,,,,yes,
SRR10387879,No,16,2,7,China,Asia,2018,human/clinical,optrA,,,,,yes,
SRR13080469,No,480,3,14,Belgium,Europe,2017,human/clinical,optrA,,,,,yes,
